LOCATION,ADDRESS,10/22/2016,10/23/2016,10/24/2016,10/25/2016,10/26/2016,10/27/2016,10/28/2016,10/29/2016,10/30/2016,10/31/2016,11/1/2016,11/2/2016,11/3/2016,11/4/2016
Downtown Reno Library,301 S. Center St. Reno 89501,CLOSED,11 a.m. - 4 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,CLOSED,CLOSED,11 a.m. - 4 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED
Incline Village Library,845 Alder Ave Incline Village  89451,11 a.m. - 6 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,11 a.m. - 6 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,11 a.m. - 4 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,11 a.m. - 4 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.
Northwest Library,2325 Robb Dr Reno 89523,11 a.m. - 4 p.m.,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,11 a.m. - 4 p.m.,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #105,1630 Robb Dr Reno 89523,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #106,701 Keystone Ave Reno 89503,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #108,18144 Wedge Pkwy Reno 89511,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #110,2389 Wingfield Hills Rd Sparks 89436,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Registrar of Voters Office,1001 E 9th Street Reno  89512,10 a.m. - 2 p.m.,CLOSED,8 a.m. - 6 p.m.,8 a.m. - 6 p.m.,8 a.m. - 6 p.m.,8 a.m. - 6 p.m.,CLOSED,10 a.m. - 2 p.m.,CLOSED,8 a.m. - 6 p.m.,8 a.m. - 6 p.m.,8 a.m. - 6 p.m.,8 a.m. - 6 p.m.,8 a.m. - 6 p.m.
