LOCATION,ADDRESS,the_geom,10/22/2016,10/23/2016,10/24/2016,10/25/2016,10/26/2016,10/27/2016,10/28/2016,10/29/2016,10/30/2016,10/31/2016,11/1/2016,11/2/2016,11/3/2016,11/4/2016
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,CLOSED,11 a.m. - 4 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,CLOSED,CLOSED,11 a.m. - 4 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,11 a.m. - 6 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,11 a.m. - 6 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
North Valleys Library,1075 North Hills Blvd #340 Reno 89506,0101000020E6100000481B47ACC5F55DC0C53D963E74CD4340,11 a.m. - 4 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,11 a.m. - 4 p.m.,CLOSED,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.
Northwest Library,2325 Robb Dr Reno 89523,0101000020E6100000E605D847A7F85DC0F701486DE2C44340,11 a.m. - 4 p.m.,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,CLOSED,11 a.m. - 4 p.m.,CLOSED,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.,11 a.m. - 6 p.m.
Raley's Store #102,2895 N. McCarran Blvd Sparks 89431,0101000020E610000035EF384547F05DC0B3EA73B515C74340,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #105,1630 Robb Dr Reno 89523,0101000020E610000078B471C45AF85DC07AC7293A92C34340,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #106,701 Keystone Ave Reno 89503,0101000020E610000008556AF640F55DC0AB09A2EE03C44340,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #108,18144 Wedge Pkwy Reno 89511,0101000020E6100000029F1F4608F15DC0C3D8429083B24340,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
Raley's Store #110,2389 Wingfield Hills Rd Sparks 89436,0101000020E6100000B4024356B7EC5DC0EF2076A6D0CD4340,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,11 a.m. - 4 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,10 a.m. - 6 p.m.,9 a.m. - 7 p.m.,9 a.m. - 7 p.m.
