LOCATION,ADDRESS,the_geom,event_time,duration,end_time,openclose
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-23T11:00:00,18000.0,2016-10-23T16:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-23T16:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-24T11:00:00,25200.0,2016-10-24T18:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-24T18:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-25T11:00:00,25200.0,2016-10-25T18:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-25T18:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-26T11:00:00,25200.0,2016-10-26T18:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-26T18:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-30T11:00:00,18000.0,2016-10-30T16:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-30T16:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-31T11:00:00,25200.0,2016-10-31T18:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-10-31T18:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-11-01T11:00:00,25200.0,2016-11-01T18:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-11-01T18:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-11-02T11:00:00,25200.0,2016-11-02T18:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-11-02T18:00:00,,,-1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-11-03T11:00:00,25200.0,2016-11-03T18:00:00,1
Downtown Reno Library,301 S. Center St. Reno 89501,0101000020E6100000247F30F0DCF35DC00A2BBA9AE1C24340,2016-11-03T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-22T11:00:00,25200.0,2016-10-22T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-22T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-25T11:00:00,25200.0,2016-10-25T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-25T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-26T11:00:00,25200.0,2016-10-26T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-26T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-27T11:00:00,25200.0,2016-10-27T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-27T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-29T11:00:00,25200.0,2016-10-29T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-10-29T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-01T11:00:00,25200.0,2016-11-01T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-01T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-02T11:00:00,25200.0,2016-11-02T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-02T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-03T11:00:00,25200.0,2016-11-03T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-03T18:00:00,,,-1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-04T11:00:00,25200.0,2016-11-04T18:00:00,1
Incline Village Library,845 Alder Ave Incline Village  89451,0101000020E6100000FA0AD28C45FD5DC040A4DFBE0EA04340,2016-11-04T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-22T10:00:00,28800.0,2016-10-22T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-22T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-23T11:00:00,18000.0,2016-10-23T16:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-23T16:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-24T10:00:00,28800.0,2016-10-24T18:00:00,1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-24T18:00:00,,,-1
Legends at Sparks Marina,1310 Scheels Drive #B107 Sparks 89434,0101000020E610000043FF04172BEE5DC0CE1951DA1BC44340,2016-10-25T10:00:00,28800.0,2016-10-25T18:00:00,1
